university,campus,region,year,url,latitude,longitude
서울대학교,관악캠퍼스,서울 관악구,2024,,37.4601,126.9520
연세대학교,신촌캠퍼스,서울 서대문구,2024,,37.5658,126.9386
고려대학교,안암캠퍼스,서울 성북구,2024,,37.5895,127.0323
한양대학교,서울캠퍼스,서울 성동구,2024,,37.5573,127.0453
건국대학교,서울캠퍼스,서울 광진구,2024,,37.5403,127.0793
중앙대학교,서울캠퍼스,서울 동작구,2024,,37.5049,126.9573
홍익대학교,서울캠퍼스,서울 마포구,2024,,37.5507,126.9250
경희대학교,서울캠퍼스,서울 동대문구,2024,,37.5966,127.0522
세종대학교,서울캠퍼스,서울 광진구,2024,,37.5502,127.0733
성균관대학교,인문사회과학캠퍼스,서울 종로구,2024,,37.5877,126.9938
서강대학교,서울캠퍼스,서울 마포구,2024,,37.5510,126.9410
한국외국어대학교,서울캠퍼스,서울 동대문구,2024,,37.5975,127.0587
서울시립대학교,서울캠퍼스,서울 동대문구,2024,,37.5834,127.0587
동국대학교,서울캠퍼스,서울 중구,2024,,37.5583,127.0000
숭실대학교,서울캠퍼스,서울 동작구,2024,,37.4963,126.9573
국민대학교,서울캠퍼스,서울 성북구,2024,,37.6109,126.9970
광운대학교,서울캠퍼스,서울 노원구,2024,,37.6194,127.0594
서울과학기술대학교,서울캠퍼스,서울 노원구,2024,,37.6317,127.0776
명지대학교,인문캠퍼스,서울 서대문구,2024,,37.5800,126.9227
상명대학교,서울캠퍼스,서울 종로구,2024,,37.6023,126.9550
이화여자대학교,서울캠퍼스,서울 서대문구,2024,,37.5620,126.9468
숙명여자대학교,서울캠퍼스,서울 용산구,2024,,37.5460,126.9648
성신여자대학교,수정캠퍼스,서울 성북구,2024,,37.5920,127.0223
서울여자대학교,서울캠퍼스,서울 노원구,2024,,37.6283,127.0906
동덕여자대학교,서울캠퍼스,서울 성북구,2024,,37.6062,127.0417
덕성여자대학교,쌍문캠퍼스,서울 도봉구,2024,,37.6533,127.0161
한성대학교,서울캠퍼스,서울 성북구,2024,,37.5824,127.0100
서경대학교,서울캠퍼스,서울 성북구,2024,,37.6151,127.0130
삼육대학교,서울캠퍼스,서울 노원구,2024,,37.6432,127.1055
