university,campus,region,year,url
서울대학교,관악캠퍼스,서울 관악구,2026,https://redduck.tistory.com/entry/2026-%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90-%EC%B6%95%EC%A0%9C-%EC%B4%9D%EC%A0%95%EB%A6%AC%EF%BD%9C%EB%9D%BC%EC%9D%B8%EC%97%85%C2%B7%EC%9D%BC%EC%A0%95%C2%B7%EC%99%B8%EB%B6%80%EC%9D%B8-%EC%9E%85%EC%9E%A5%EA%B9%8C%EC%A7%80-%ED%95%9C%EB%88%88%EC%97%90-%EC%A0%95%EB%A6%AC
연세대학교,신촌캠퍼스,서울 서대문구,2026,https://www.wikifoodie.co.kr/news/articleView.html?idxno=12236
고려대학교,안암캠퍼스,서울 성북구,2026,
한양대학교,서울캠퍼스,서울 성동구,2026,https://memogipost.tistory.com/entry/2026-%ED%95%9C%EC%96%91%EB%8C%80-%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4-%EC%B6%95%EC%A0%9C
건국대학교,서울캠퍼스,서울 광진구,2026,https://jcks100.com/entry/2025-%EA%B1%B4%EA%B5%AD%EB%8C%80-%EB%8C%80%ED%95%99%EC%B6%95%EC%A0%9C-%EC%B4%88%EB%8C%80%EA%B0%80%EC%88%98-%EB%9D%BC%EC%9D%B8%EC%97%85-%EB%B0%8F-%EC%8B%B8%EC%9D%B4-%EA%B3%B5%EC%97%B0-%EC%9D%BC%EC%A0%95
중앙대학교,서울캠퍼스,서울 동작구,2026,
홍익대학교,서울캠퍼스,서울 마포구,2026,https://memogipost.tistory.com/entry/2026-%ED%99%8D%EC%9D%B5%EB%8C%80%ED%95%99%EA%B5%90-%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4%EC%B6%95%EC%A0%9C
경희대학교,서울캠퍼스,서울 동대문구,2026,https://news.comingmoney.com/entry/2026-%EA%B2%BD%ED%9D%AC%EB%8C%80%ED%95%99%EA%B5%90-%EC%B6%95%EC%A0%9C-%EB%9D%BC%EC%9D%B8%EC%97%85%EA%B3%BC-%EC%9D%BC%EC%A0%95-%EC%B4%9D%EC%A0%95%EB%A6%AC
세종대학교,서울캠퍼스,서울 광진구,2026,https://memogipost.tistory.com/entry/2026-%EC%84%B8%EC%A2%85%EB%8C%80%ED%95%99%EA%B5%90-%EB%8C%80%EB%8F%99%EC%A0%9C
성균관대학교,인문사회과학캠퍼스,서울 종로구,2026,https://memogipost.tistory.com/entry/2026-%EC%84%B1%EA%B7%A0%EA%B4%80%EB%8C%80%ED%95%99%EA%B5%90%EC%B6%95%EC%A0%9C-%EB%AC%B8%ED%96%89%EB%8C%80%EB%8F%99%EC%A0%9C
서강대학교,서울캠퍼스,서울 마포구,2026,https://memogipost.tistory.com/entry/2026-%EC%84%9C%EA%B0%95%EB%8C%80%ED%95%99%EA%B5%90-%EB%8C%80%EB%8F%99%EC%A0%9C
한국외국어대학교,서울캠퍼스,서울 동대문구,2026,
서울시립대학교,서울캠퍼스,서울 동대문구,2026,https://blog.naver.com/travelnote77/224280969490
동국대학교,서울캠퍼스,서울 중구,2026,https://schedule.comingmoney.com/entry/2026-%EB%8F%99%EA%B5%AD%EB%8C%80%ED%95%99%EA%B5%90-%EC%B6%95%EC%A0%9C-DIRVANA-%EC%9D%BC%EC%A0%95%EA%B3%BC-%EB%9D%BC%EC%9D%B8%EC%97%85-%ED%95%B5%EC%8B%AC-%EC%A0%95%EB%A6%AC
숭실대학교,서울캠퍼스,서울 동작구,2026,https://memogipost.tistory.com/entry/2026-%EC%88%AD%EC%8B%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%B6%95%EC%A0%9C-%EB%8C%80%EB%8F%99%EC%A0%9C
국민대학교,서울캠퍼스,서울 성북구,2026,https://memogipost.tistory.com/entry/2026-%EA%B5%AD%EB%AF%BC%EB%8C%80%ED%95%99%EA%B5%90%EC%B6%95%EC%A0%9C-%EB%8C%80%EB%8F%99%EC%A0%9C
광운대학교,서울캠퍼스,서울 노원구,2026,https://memogipost.tistory.com/entry/2026-%EA%B4%91%EC%9A%B4%EB%8C%80%ED%95%99%EA%B5%90-%EB%8C%80%EB%8F%99%EC%A0%9C
서울과학기술대학교,서울캠퍼스,서울 노원구,2026,https://memogipost.tistory.com/entry/2026-%EC%84%9C%EC%9A%B8%EA%B3%BC%ED%95%99%EA%B8%B0%EC%88%A0%EB%8C%80%ED%95%99%EA%B5%90-%ED%9A%83%EB%B6%88%EC%A0%9C
명지대학교,인문캠퍼스,서울 서대문구,2026,https://memogipost.tistory.com/entry/2026-%EB%AA%85%EC%A7%80%EB%8C%80%ED%95%99%EA%B5%90-%EC%9D%B8%EB%AC%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4-%EB%B0%B1%EB%A7%88%EB%8C%80%EB%8F%99%EC%A0%9C
상명대학교,서울캠퍼스,서울 종로구,2026,https://memogipost.tistory.com/entry/2026-%EC%83%81%EB%AA%85%EB%8C%80%ED%95%99%EA%B5%90-%EC%84%9C%EC%9A%B8%EC%BA%A0%ED%8D%BC%EC%8A%A4-%EB%8C%80%EB%8F%99%EC%A0%9C
이화여자대학교,서울캠퍼스,서울 서대문구,2026,https://towbworld.tistory.com/entry/2026-%EC%9D%B4%ED%99%94%EC%97%AC%EB%8C%80-%EC%B6%95%EC%A0%9C-%EB%9D%BC%EC%9D%B8%EC%97%85-%EC%B4%9D%EC%A0%95%EB%A6%AC%EF%BD%9CNCT-WISH%C2%B7%EC%9B%90%EC%9C%84-%EA%B3%B5%EC%97%B0%EC%8B%9C%EA%B0%84-%EC%99%B8%EB%B6%80%EC%9D%B8-%EC%9E%85%EC%9E%A5-%EC%A0%9C%ED%95%9C-%EC%95%88%EB%82%B4
숙명여자대학교,서울캠퍼스,서울 용산구,2026,
성신여자대학교,수정캠퍼스,서울 성북구,2026,
서울여자대학교,서울캠퍼스,서울 노원구,2026,https://memogipost.tistory.com/entry/2026-%EC%84%9C%EC%9A%B8%EC%97%AC%EC%9E%90%EB%8C%80%EC%B6%95%EC%A0%9C-%EB%8C%80%EB%8F%99%EC%A0%9C
동덕여자대학교,서울캠퍼스,서울 성북구,2026,
덕성여자대학교,쌍문캠퍼스,서울 도봉구,2026,https://memogipost.tistory.com/entry/2026-%EB%8D%95%EC%84%B1%EC%97%AC%EC%9E%90%EB%8C%80%ED%95%99%EA%B5%90-%EA%B7%BC%ED%99%94%EC%A0%9C
